precinct_id,population
p766,347
p767,347
p1320,1332
p1321,1332
p1322,1332
p1323,1332
p1324,1332
p1325,1332
p1326,1332
p1327,1332
p1328,1332
p774,1505
p775,1505
p776,1505
p777,1505
p778,1505
p779,1505
p780,1505
p781,1505
p782,1505
p783,1505
p784,1505
p785,1505
p786,1505
p787,1505
p788,1505
p789,1505
p790,1505
p791,1505
p792,1505
p793,1505
p794,1505
p795,1505
p796,1505
p797,1505
p798,1505
p799,1505
p800,1505
p801,1505
p802,1505
p803,1505
p804,1505
p805,1505
p806,1505
p807,1505
p808,1505
p809,1505
p810,1505
p811,1505
p812,1505
p813,1505
p814,1505
p815,1505
p816,1505
p761,937
p762,937
p763,937
p764,937
p765,937
p1391,1023
p1392,1023
p1393,1023
p1394,1023
p1395,1023
p1396,1023
p1397,1023
p1398,1023
p1399,1023
p1400,1023
p1401,1023
p1402,1023
p1403,1023
p1404,1023
p1405,1023
p1406,1023
p726,843
p727,843
p728,843
p729,843
p730,843
p731,843
p732,843
p733,843
p734,843
p735,843
p736,843
p737,843
p738,843
p739,843
p740,843
p741,843
p742,843
p743,843
p744,843
p745,843
p746,843
p747,843
p748,843
p749,843
p750,843
p751,843
p752,843
p753,843
p754,843
p755,843
p756,843
p757,843
p758,843
p759,843
p760,843
p936,1594
p937,1594
p938,1594
p939,1594
p940,1594
p941,1594
p942,1594
p943,1594
p944,1594
p945,1594
p946,1594
p947,1594
p948,1594
p949,1594
p950,1594
p951,1594
p952,1594
p953,1594
p954,1594
p955,1594
p956,1594
p957,1594
p958,1594
p959,1594
p960,1594
p961,1594
p962,1594
p963,1594
p964,1594
p965,1594
p966,1594
p967,1594
p968,1594
p969,1594
p970,1594
p971,1594
p972,1594
p973,1594
p974,1594
p975,1594
p1128,1688
p1129,1688
p1130,1688
p1131,1688
p1132,1688
p1133,1688
p1134,1688
p1135,1688
p1136,1688
p1137,1688
p1138,1688
p1139,1688
p1140,1688
p1141,1688
p1142,1688
p1143,1688
p1144,1688
p1145,1688
p1146,1688
p1147,1688
p1148,1688
p1149,1688
p1150,1688
p1151,1688
p1152,1688
p1153,1688
p1154,1688
p1155,1688
p1156,1688
p1157,1688
p1158,1688
p1159,1688
p1160,1688
p1161,1688
p1162,1688
p1163,1688
p1164,1688
p1165,1688
p1166,1688
p1167,1688
p1168,1688
p1169,1688
p1170,1688
p1171,1688
p1172,1688
p1173,1688
p1174,1688
p1175,1688
p1176,1688
p1177,1688
p1178,1688
p1179,1688
p1180,1688
p1181,1688
p1182,1688
p1183,1688
p1184,1688
p1185,1688
p1186,1688
p1187,1688
p1188,1688
p1189,1688
p1190,1688
p1191,1688
p1192,1688
p1193,1688
p1194,1688
p1195,1688
p1196,1688
p1197,1688
p1198,1688
p1199,1688
p1200,1688
p1201,1688
p1202,1688
p1203,1688
p1204,1688
p1030,1102
p1031,1102
p1032,1102
p1033,1102
p1034,1102
p1035,1102
p1036,1102
p1037,1102
p1038,1102
p1039,1102
p1040,1102
p1041,1102
p1042,1102
p1043,1102
p1044,1102
p1045,1102
p1046,1102
p1047,1102
p529,1307
p530,1307
p531,1307
p532,1307
p533,1307
p534,1307
p535,1307
p536,1307
p537,1307
p538,1307
p539,1307
p540,1307
p541,1307
p542,1307
p543,1307
p544,1307
p545,1307
p546,1307
p547,1307
p548,1307
p549,1307
p550,1307
p551,1307
p552,1307
p553,1307
p554,1307
p555,1307
p556,1307
p557,1307
p558,1307
p559,1307
p560,1307
p561,1307
p562,1307
p563,1307
p564,1307
p565,1307
p1355,914
p1356,914
p1357,914
p1358,914
p1359,914
p1360,914
p1361,914
p1362,914
p1363,914
p1364,914
p1365,914
p1366,914
p1367,914
p1368,914
p1369,914
p1370,914
p1371,914
p1372,914
p1373,914
p1374,914
p1375,914
p1376,914
p1377,914
p1378,914
p1379,914
p1380,914
p1381,914
p1382,914
p1383,914
p1384,914
p1385,914
p1386,914
p1387,914
p1388,914
p1389,914
p1390,914
p768,815
p769,815
p770,815
p771,815
p772,815
p773,815
p685,1312
p686,1312
p687,1312
p688,1312
p689,1312
p690,1312
p691,1312
p692,1312
p693,1312
p694,1312
p695,1312
p696,1312
p697,1312
p698,1312
p699,1312
p700,1312
p701,1312
p702,1312
p703,1312
p704,1312
p705,1312
p706,1312
p707,1312
p708,1312
p709,1312
p710,1312
p711,1312
p712,1312
p713,1312
p714,1312
p715,1312
p716,1312
p717,1312
p718,1312
p719,1312
p720,1312
p721,1312
p722,1312
p723,1312
p724,1312
p725,1312
p566,505
p567,505
p568,505
p569,505
p485,1088
p486,1088
p487,1088
p488,1088
p489,1088
p490,1088
