precinct_id,population
p34,2915
p35,2915
p36,2915
p37,2915
p38,2915
p39,2915
p40,2915
p41,2915
p42,2915
p43,2915
p44,2915
p45,2915
p46,2915
p47,2915
p48,2915
p49,2915
p50,2915
p51,2915
p52,2915
p53,2915
p54,2915
p55,2915
p56,2915
p57,2915
p58,2915
p59,2915
p60,2915
p61,2915
p62,2915
p63,2915
p64,2915
p65,2915
p66,2915
p67,2915
p68,2915
p69,2915
p70,2915
p71,2915
p72,2915
p73,2915
p74,2915
p75,2915
p76,2915
p77,2915
p78,2915
p79,2915
p80,2915
p81,2915
p82,2915
p83,2915
p84,2915
p85,2915
p86,2915
p87,2915
p88,2915
p89,2915
p90,2915
p91,2915
p92,2915
p93,2915
p94,2915
p215,2430
p216,2430
p217,2430
p218,2430
p219,2430
p220,2430
p221,2430
p222,2430
p223,2430
p224,2430
p225,2430
p226,2430
p227,2430
p228,2430
p229,2430
p230,2430
p231,2430
p232,2430
p233,2430
p234,2430
p235,2430
p236,2430
p237,2430
p238,2430
p239,2430
p240,2430
p241,2430
p242,2430
p243,2430
p244,2430
p245,2430
p246,2430
p247,2430
p248,2430
p249,2430
p250,2430
p251,2430
p252,2430
p253,2430
p254,2430
p255,2430
p256,2430
p257,2430
p258,2430
p259,2430
p260,2430
p261,2430
p262,2430
p263,2430
p264,2430
p265,2430
p266,2430
p267,2430
p268,2430
p269,2430
p270,2430
p271,2430
p272,2430
p273,2430
p274,2430
p275,2430
p276,2430
p277,2430
p278,2430
p279,2430
p280,2430
p281,2430
p282,2430
p283,2430
p284,2430
p285,2430
p286,2430
p287,2430
p288,2430
p289,2430
p290,2430
p291,2430
p378,1908
p379,1908
p380,1908
p381,1908
p382,1908
p383,1908
p384,1908
p385,1908
p386,1908
p387,1908
p388,1908
p389,1908
p390,1908
p391,1908
p392,1908
p393,1908
p394,1908
p395,1908
p396,1908
p397,1908
p398,1908
p399,1908
p400,1908
p401,1908
p402,1908
p403,1908
p404,1908
p405,1908
p406,1908
p1843,3126
p1844,3126
p1845,3126
p1846,3126
p1847,3126
p1848,3126
p1849,3126
p1850,3126
p1851,3126
p1852,3126
p1853,3126
p1854,3126
p1855,3126
p1856,3126
p1857,3126
p1858,3126
p1859,3126
p1860,3126
p1861,3126
p1862,3126
p1863,3126
p1864,3126
p1865,3126
p1866,3126
p1867,3126
p1868,3126
p1869,3126
p1870,3126
p1871,3126
p1872,3126
p1873,3126
p1874,3126
p1875,3126
p1876,3126
p1877,3126
p1878,3126
p1879,3126
p1880,3126
p1881,3126
p1882,3126
p1883,3126
p1884,3126
p1885,3126
p1886,3126
p1887,3126
p1888,3126
p1889,3126
p1890,3126
p1891,3126
p1892,3126
p1893,3126
p1894,3126
p1895,3126
p1896,3126
p1897,3126
p1898,3126
p1899,3126
p1900,3126
p1901,3126
p1902,3126
p1903,3126
p1904,3126
p1905,3126
p1906,3126
p1907,3126
p1908,3126
p1909,3126
p1910,3126
p1911,3126
p1912,3126
p1913,3126
p1914,3126
p1915,3126
p1916,3126
p1917,3126
p1918,3126
p1919,3126
p1920,3126
p1921,3126
p1922,3126
p1923,3126
p1924,3126
p1925,3126
p1926,3126
p1927,3126
p1928,3126
p1929,3126
p1930,3126
p1931,3126
p1932,3126
p1934,3126
p1935,3126
p1936,3126
p1937,3126
p1938,3126
p1939,3126
p1940,3126
p1941,3126
p1942,3126
p1943,3126
p1944,3126
p1945,3126
p1946,3126
p1947,3126
p1948,3126
p1949,3126
p1950,3126
p1951,3126
p1952,3126
p1953,3126
p1954,3126
p1955,3126
p1956,3126
p1957,3126
p1958,3126
p1959,3126
p1960,3126
p1961,3126
p1962,3126
p1963,3126
p1964,3126
p1965,3126
p1966,3126
p1216,1845
p1217,1845
p1218,1845
p1219,1845
p1220,1845
p1221,1845
p1222,1845
p1223,1845
p1224,1845
p1225,1845
p1226,1845
p1227,1845
p1228,1845
p1229,1845
p1230,1845
p1231,1845
p1232,1845
p1233,1845
p1234,1845
p1235,1845
p1236,1845
p1237,1845
p1238,1845
p1239,1845
p1240,1845
p1241,1845
p1242,1845
p1243,1845
p1244,1845
p1245,1845
p1246,1845
p1247,1845
p1248,1845
p1249,1845
p1250,1845
p1251,1845
p1252,1845
p1253,1845
p1254,1845
p1255,1845
p1256,1845
p1257,1845
p1258,1845
p1259,1845
p1260,1845
p1261,1845
p1262,1845
p1263,1845
p1264,1845
p1265,1845
p1266,1845
p1267,1845
p1268,1845
p1269,1845
p1270,1845
p1271,1845
p1272,1845
p1273,1845
p1274,1845
p1275,1845
p1276,1845
p1277,1845
p1278,1845
p1279,1845
p1280,1845
p1281,1845
p1282,1845
p1283,1845
p1284,1845
p1285,1845
p1286,1845
p1287,1845
p1288,1845
p1289,1845
p1728,1944
p1729,1944
p1730,1944
p1731,1944
p1732,1944
p1733,1944
p1734,1944
p1735,1944
p1736,1944
p1737,1944
p1738,1944
p1739,1944
p1740,1944
p1741,1944
p1742,1944
p1743,1944
p1744,1944
p1790,1745
p1791,1745
p1792,1745
p1793,1745
p1794,1745
p1795,1745
p1796,1745
p1797,1745
p1798,1745
p1799,1745
p1800,1745
p1801,1745
p1802,1745
p1803,1745
p1804,1745
p1805,1745
p1806,1745
p1807,1745
p1808,1745
p1809,1745
p1810,1745
p1811,1745
p1812,1745
p1813,1745
p1814,1745
p1815,1745
p1816,1745
p1817,1745
p1818,1745
p1819,1745
p1820,1745
p1821,1745
p1822,1745
p1823,1745
p1824,1745
p1825,1745
p1826,1745
p1827,1745
p1828,1745
p1829,1745
p1830,1745
p1831,1745
p1832,1745
p1833,1745
p1834,1745
