precinct_id,population
p1051,942
p1052,942
p1053,942
p1054,942
p1055,942
p1056,942
p1057,942
p1058,942
p1059,942
p1060,942
p1061,942
p1062,942
p1063,942
p1064,942
p1065,942
p1066,942
p1067,942
p1068,942
p1069,942
p1070,942
p1071,942
p1072,942
p1073,942
p1074,942
p1075,942
p1076,942
p1077,942
p1078,942
p1079,942
p1080,942
p1081,942
p1082,942
p1083,942
p1084,942
p1085,942
p1086,942
p1087,942
p1088,942
p1089,942
p1090,942
p1091,942
p1092,942
p1093,942
p1094,942
p1095,942
p1096,942
p1097,942
p1098,942
p1099,942
p1100,942
p1101,942
p1102,942
p1103,942
p48,353
p49,353
p50,353
p51,891
p52,891
p53,891
p54,891
p55,891
p56,891
p57,891
p58,891
p59,891
p60,891
p61,891
p62,891
p63,891
p64,891
p65,891
p66,891
p67,891
p68,891
p69,891
p70,891
p71,891
p72,891
p73,891
p74,891
p75,552
p76,552
p77,552
p78,552
p79,552
p80,552
p81,552
p82,552
p83,552
p84,552
p85,552
p86,552
p1747,1188
p1748,1188
p1749,1188
p1750,1188
p1751,1188
p1752,1188
p1753,1188
p1754,1188
p1755,1188
p1756,1188
p1757,1188
p1758,1188
p1759,1188
p1760,1188
p1761,1188
p1762,1188
p1763,1188
p1764,1188
p1765,1188
p1766,1188
p1767,1188
p1768,1188
p1769,1188
p1770,1188
p1771,1188
p1772,1188
p1773,1188
p1774,1188
p1775,1188
p1776,1188
p1777,1188
p1778,1188
p1779,1188
p1780,1188
p1781,1188
p1782,1188
p1783,1188
p1784,1188
p1785,1188
p1786,1188
p1787,1188
p1788,1188
p1789,1188
p1790,1188
p1791,1188
p1792,1188
p1793,1188
p1794,1188
p1795,1188
p1796,1188
p1797,1188
p1798,1188
p1799,1188
p1800,1188
p1801,1188
p1802,1188
p1803,1188
p1804,1188
p1805,1188
p1806,1188
p1807,1188
p1808,1188
p1809,1188
p1810,1188
p1811,1188
p1812,1188
p1813,1188
p1814,1188
p1815,1188
p1816,1188
p1817,1188
p1818,1188
p1819,1188
p1820,1188
p1821,1188
p1822,1188
p1823,1188
p1824,1188
p1825,1188
p1826,1188
p1827,1188
p1828,1188
p1829,1188
p1830,1188
p1831,1188
p1832,1188
p1833,1188
p1834,1188
p1835,1188
p1836,1188
p1837,1188
p1838,1188
p1839,1188
p1840,1188
p1841,1188
p1842,1188
p1843,1188
p1844,1188
p1845,1188
p1846,1188
p1847,1188
p1848,1188
p1849,1188
p1850,1188
p1851,1188
p1852,1188
p1853,1188
p1854,1188
p1855,1188
p1856,1188
p1857,1188
p1858,1188
p1859,1188
p1860,1188
p1861,1188
p1862,1188
p1863,1188
p1864,1188
p1865,1188
p1866,1188
p1867,1188
p1868,1188
p1869,1188
p1870,1188
p1871,1188
p1872,1188
p1873,1188
p1874,1188
p1875,1188
p1876,1188
p1877,1188
p1878,1188
p1879,1188
p1880,1188
p1881,1188
p1882,1188
p1883,1188
p1884,1188
p1885,1188
p1886,1188
p1887,1188
p1888,1188
p1889,1188
p1890,1188
p1891,1188
p1892,1188
p1893,1188
p1894,1188
p1895,1188
p1896,1188
p1897,1188
p1898,1188
p1899,1188
p1900,1188
p1901,1188
p1902,1188
p1903,1188
p1904,1188
p1905,1188
p1906,1188
p1907,1188
p1908,1188
p1909,1188
p1910,1188
p1911,1188
p1912,1188
p1913,1188
p1914,1188
p1915,1188
p1916,1188
p1917,1188
p1918,1188
p1919,1188
p1920,1188
p1921,1188
p1922,1188
p1923,1188
p1924,1188
p1925,1188
p1926,1188
p1927,1188
p1928,1188
p1929,1188
p1930,1188
p1931,1188
p1932,1188
p1933,1188
p1934,1188
p1935,1188
p1936,1188
p1937,1188
p1938,1188
p1939,1188
p1940,1188
p1941,1188
p1942,1188
p1943,1188
p1944,1188
p1945,1188
p1946,1188
p1947,1188
p1948,1188
p1949,1188
p1950,1188
p1951,1188
p1952,1188
p1953,1188
p1954,1188
p1955,1188
p1956,1188
p1957,1188
p1958,1188
p1959,1188
